	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
1262	KFP013_KFP082	un	deg3	4.0304725841049285		
1263	KFP013_KFP083	un	deg3	0.7433637579029551		
1264	KFP013_KFP084	un	deg3	10.681285558935883		
1265	KFP013_KFP085	un	deg3	9.835751176051417		
1266	KFP013_KFP086	un	deg3	7.667611675230205		
1267	KFP013_KFP087	un	deg3	8.133128080259553		
1268	KFP013_KFP088	un	deg3	0.9961555358516988		
1269	KFP013_KFP089	un	deg3	3.500177044211		
1270	KFP013_KFP090	un	deg3	11.608965511847828		
1271	KFP013_KFP091	un	deg3	9.368640084994013		
1272	KFP013_KFP092	un	deg3	9.993812835827269		
1273	KFP013_KFP093	un	deg3	12.030817742345107		
1274	KFP013_KFP094	un	deg3	6.108127412816542		
1275	KFP013_KFP095	un	deg3	6.899959521738879		
1276	KFP013_KFP096	un	deg3	8.327349373713787		
1277	KFP013_KFP097	un	deg3	9.986567234886707		
1278	KFP013_KFP098	un	deg3	9.15703925163848		
1279	KFP013_KFP099	un	deg3	9.781231896431564		
1280	KFP013_KFP100	un	deg3	12.064217864651823		
1281	KFP013_KFP101	un	deg3	10.779732809684901		
1282	KFP013_KFP102	un	deg3	7.271797737516862		
1283	KFP013_KFP103	un	deg3	8.470601774188822		
1284	KFP013_KFP104	un	deg3	11.875301212151046		
1285	KFP013_KFP105	un	deg3	11.808569851241488		
1286	KFP013_KFP106	un	deg3	10.608637569751977		
1287	KFP014_KFP015	un	deg3	23.393919912868114		
1288	KFP014_KFP016	un	deg3	14.147047688551764		
1289	KFP014_KFP017	un	deg3	12.16493832114611		
1290	KFP014_KFP018	un	deg3	19.822104637792567		
1291	KFP014_KFP019	un	deg3	16.85427840256989		
1292	KFP014_KFP020	un	deg3	20.240957049668395		
1293	KFP014_KFP021	un	deg3	15.90035159920717		
1294	KFP014_KFP022	un	deg3	20.599196142525216		
1295	KFP014_KFP023	un	deg3	16.03595297012885		
1296	KFP014_KFP024	un	deg3	20.605102103171244		
1297	KFP014_KFP025	un	deg3	23.56284348624445		
1298	KFP014_KFP026	un	deg3	16.14637833243387		
1299	KFP014_KFP027	un	deg3	19.42178412814519		
1300	KFP014_KFP028	un	deg3	22.92429237569423		
1301	KFP014_KFP029	un	deg3	21.7716395468849		
1302	KFP014_KFP030	sec	deg3	12.10730609588245		
1303	KFP014_KFP031	un	deg3	22.110445313510127		
1304	KFP014_KFP032	un	deg3	20.90785779089606		
1305	KFP014_KFP033	sib	sec	71.82498348078775	pc	71.22239271666172
1306	KFP014_KFP034	sec	deg3	7.429819176332103		
1307	KFP014_KFP035	un	deg3	14.863442308698268		
1308	KFP014_KFP036	un	deg3	18.633359365820752		
1309	KFP014_KFP037	un	deg3	22.590362893696014		
1310	KFP014_KFP038	un	deg3	17.120725264125323		
1311	KFP014_KFP039	un	deg3	2.477987260439022		
1312	KFP014_KFP040	un	deg3	9.201486485020268		
1313	KFP014_KFP041	un	deg3	16.30422920288447		
1314	KFP014_KFP042	un	deg3	20.702443628428		
1315	KFP014_KFP043	un	deg3	17.512581088547677		
1316	KFP014_KFP044	un	deg3	21.47462793894806		
1317	KFP014_KFP045	un	deg3	18.304529339989813		
1318	KFP014_KFP046	un	deg3	20.38792217333912		
1319	KFP014_KFP047	un	deg3	18.53195123951048		
1320	KFP014_KFP048	un	deg3	11.062125377962275		
1321	KFP014_KFP049	un	deg3	21.564566956481713		
1322	KFP014_KFP050	un	deg3	22.05932431673523		
1323	KFP014_KFP051	un	deg3	22.34229394175418		
1324	KFP014_KFP052	un	deg3	20.52495634253887		
1325	KFP014_KFP053	un	deg3	22.34104224656357		
1326	KFP014_KFP054	un	deg3	14.61749510842924		
1327	KFP014_KFP055	un	deg3	21.735298015498763		
1328	KFP014_KFP056	un	deg3	23.382900551853034		
1329	KFP014_KFP057	un	deg3	24.40876059271227		
1330	KFP014_KFP058	un	deg3	22.698790575678693		
1331	KFP014_KFP059	un	deg3	22.28760124861515		
1332	KFP014_KFP060	un	deg3	19.688626820853642		
1333	KFP014_KFP061	un	deg3	17.34632615965006		
1334	KFP014_KFP062	un	deg3	21.041317141880878		
1335	KFP014_KFP063	un	deg3	15.972749601173973		
1336	KFP014_KFP064	un	deg3	21.15270772029612		
1337	KFP014_KFP065	un	deg3	15.91435016479204		
1338	KFP014_KFP066	un	deg3	18.290329821159283		
1339	KFP014_KFP067	un	deg3	22.624057384564818		
1340	KFP014_KFP068	un	deg3	21.877981891387662		
1341	KFP014_KFP069	un	deg3	1.5482383253445278		
1342	KFP014_KFP070	un	deg3	18.463173243370647		
1343	KFP014_KFP071	un	deg3	10.8814569693252		
1344	KFP014_KFP072	un	deg3	14.554168626496676		
1345	KFP014_KFP073	un	deg3	19.844992183232762		
1346	KFP014_KFP074	un	deg3	14.291702801219573		
1347	KFP014_KFP075	un	deg3	20.0192071911124		
1348	KFP014_KFP076	un	deg3	20.99140054192208		
1349	KFP014_KFP077	un	deg3	21.99124194076376		
1350	KFP014_KFP078	un	deg3	14.359956709545033		
1351	KFP014_KFP079	un	deg3	15.794246768280118		
1352	KFP014_KFP080	un	deg3	19.463048153762198		
1353	KFP014_KFP081	un	deg3	19.80990686271718		
1354	KFP014_KFP082	un	deg3	22.80724714676739		
1355	KFP014_KFP083	sec	deg3	4.580793620150188		
1356	KFP014_KFP084	un	deg3	14.03709520170196		
1357	KFP014_KFP085	un	deg3	18.8413127405488		
1358	KFP014_KFP086	un	deg3	16.009744223803178		
1359	KFP014_KFP087	un	deg3	14.905113493905445		
1360	KFP014_KFP088	un	deg3	16.09368685138338		
1361	KFP014_KFP089	un	deg3	20.425372917226237		
1362	KFP014_KFP090	un	deg3	24.116017577183584		
1363	KFP014_KFP091	un	deg3	19.032657700001664		
1364	KFP014_KFP092	un	deg3	23.50542520790464		
1365	KFP014_KFP093	un	deg3	19.486771869295577		
1366	KFP014_KFP094	un	deg3	20.04344480054442		
1367	KFP014_KFP095	un	deg3	4.306254036316203		
1368	KFP014_KFP096	un	deg3	14.3959017535135		
1369	KFP014_KFP097	un	deg3	21.183591945674838		
1370	KFP014_KFP098	un	deg3	23.738735944362357		
1371	KFP014_KFP099	un	deg3	16.263747029478733		
1372	KFP014_KFP100	un	deg3	21.525551695238846		
1373	KFP014_KFP101	un	deg3	17.881830315833444		
1374	KFP014_KFP102	un	deg3	22.769608118842143		
