	pair	relatedness	second_guess	loglik_ratio	withinDeg_second_guess	withinDeg_ll
116	RKF012_RKF191	deg3	un	3.28144953146739		
117	RKF012_RKF198	deg3	un	4.40697061490187		
118	RKF012_RKF199	deg3	un	3.11661624046314		
119	RKF012_RKF209	deg3	sec	1.33226538939493		
120	RKF012_RKF225	deg3	un	0.115600883489662		
121	RKF013_RKF016	deg3	un	2.87845425091064		
122	RKF013_RKF047	deg3	un	3.54372684039095		
123	RKF013_RKF142	deg3	sec	5.94287601563133		
124	RKF013_RKF152	deg3	sec	3.04860429871997		
125	RKF013_RKF209	deg3	un	1.71452902630381		
126	RKF013_RKF218	deg3	un	4.39669082740397		
127	RKF014_RKF168	deg3	un	3.53071667893289		
128	RKF014_RKF199	deg3	un	3.84632054134249		
129	RKF015_RKF100	deg3	un	2.60541433249227		
130	RKF015_RKF127	deg3	un	5.98851483400995		
131	RKF015_RKF144	deg3	sec	2.864736874345		
132	RKF016_RKF019	deg3	un	0.612657281357542		
133	RKF016_RKF020	deg3	un	0.169721445936375		
134	RKF016_RKF037	deg3	sec	2.66164123157205		
135	RKF016_RKF127	deg3	un	0.971665013492156		
136	RKF016_RKF152	deg3	sec	1.76184103745481		
137	RKF016_RKF156	deg3	un	1.79677543575917		
138	RKF016_RKF160	deg3	sec	6.08895896792387		
139	RKF016_RKF184	deg3	un	3.89753472510642		
140	RKF016_RKF198	deg3	un	2.94227856280304		
141	RKF017_RKF225	deg3	un	0.019058409763915		
142	RKF019_RKF058	deg3	un	0.00266991850043		
143	RKF019_RKF142	deg3	un	1.10390113389758		
144	RKF019_RKF152	deg3	un	1.09500638741463		
145	RKF020_RKF047	deg3	un	1.12523903176157		
146	RKF020_RKF142	deg3	un	2.17067336100649		
147	RKF022_RKF108	deg3	un	0.026757917200826		
148	RKF022_RKF125	deg3	un	0.314386706652556		
149	RKF022_RKF146	deg3	un	0.278631867084812		
150	RKF022_RKF149	deg3	un	0.077499260392017		
151	RKF022_RKO004	deg3	un	0.033789039853673		
152	RKF023_RKF028	deg3	un	3.65847450335377		
153	RKF023_RKF218	deg3	un	1.86783564455823		
154	RKF024_RKF103	deg3	un	1.86990493694259		
155	RKF024_RKF123	deg3	un	0.093190304584198		
156	RKF024_RKF149	deg3	un	0.648035740692649		
157	RKF025_RKF058	deg3	un	0.047464510664213		
158	RKF027_RKF058	deg3	un	0.102874193370951		
159	RKF027_RKF171	deg3	sec	0.167632280338012		
160	RKF029_RKF042	deg3	sec	2.80101652885901		
161	RKF029_RKF158	deg3	sec	5.92829504187284		
162	RKF029_RKF160	deg3	un	0.802311050837943		
163	RKF031_RKF042	deg3	sec	5.36291163465785		
164	RKF031_RKF047	deg3	sec	2.74478125109226		
165	RKF032_RKF033	deg3	un	3.72055639643349		
166	RKF032_RKF034	deg3	un	1.04334947604389		
167	RKF032_RKF036	deg3	un	0.814443004342593		
168	RKF032_RKF155	deg3	un	2.61890029063284		
169	RKF032_RKF170	deg3	un	1.98277477121746		
170	RKF032_RKF210	deg3	un	3.73860047767198		
171	RKF032_RKF219	deg3	un	1.62096597225104		
172	RKF033_RKF036	deg3	un	2.75115958548236		
173	RKF033_RKF040	deg3	sec	0.317930585556269		
174	RKF033_RKF058	deg3	un	0.076870468018029		
175	RKF033_RKF139	deg3	sec	5.86411713773873		
176	RKF033_RKF155	deg3	un	5.8185088465907		
177	RKF033_RKF158	deg3	un	1.97248802316494		
178	RKF033_RKF219	deg3	sec	2.72186689656519		
179	RKF034_RKF036	deg3	un	3.65106757738113		
180	RKF034_RKF041	deg3	un	0.063547637894999		
181	RKF034_RKF046	deg3	un	0.997904057760024		
182	RKF034_RKF139	deg3	sec	1.5121574662096		
183	RKF034_RKF155	deg3	un	2.33007454061158		
184	RKF034_RKF219	deg3	un	4.04958876329283		
185	RKF035_RKF225	deg3	un	0.019058409763915		
186	RKF036_RKF041	deg3	un	1.41184210296933		
187	RKF036_RKF042	deg3	un	0.133662589911864		
188	RKF036_RKF047	deg3	un	0.690261043789405		
189	RKF036_RKF139	deg3	un	1.42289396730143		
190	RKF036_RKF170	deg3	un	5.67907520065296		
191	RKF037_RKF142	deg3	un	4.67591314753054		
192	RKF037_RKF152	deg3	un	2.3311598763562		
193	RKF037_RKF209	deg3	un	6.27990307925097		
194	RKF037_RKF218	deg3	un	4.13983839117236		
195	RKF038_RKF047	deg3	un	5.77261703053		
196	RKF038_RKF075	deg3	un	0.05120141220678		
197	RKF038_RKF142	deg3	un	0.235268909139904		
198	RKF038_RKF209	deg3	un	4.16328376459228		
199	RKF038_RKF218	deg3	un	0.238580532117112		
200	RKF040_RKF042	deg3	un	3.89933343017719		
201	RKF040_RKF047	deg3	sec	0.138375450354033		
202	RKF040_RKF158	deg3	un	1.72786558541748		
203	RKF041_RKF047	deg3	un	0.948044473158006		
204	RKF041_RKF155	deg3	un	3.84405908311237		
205	RKF041_RKF170	deg3	un	1.43335553410338		
206	RKF041_RKF210	deg3	un	1.64645467574337		
207	RKF042_RKF141	deg3	un	3.72464607123288		
208	RKF042_RKF157	deg3	sec	4.46432322898386		
209	RKF042_RKF162	deg3	un	4.51613299197425		
210	RKF042_RKF213	deg3	un	2.37160992354688		
211	RKF045_RKF167	deg3	un	0.863668796170373		
212	RKF046_RKF139	deg3	un	2.71115439586288		
213	RKF046_RKF155	deg3	un	3.68845306620256		
214	RKF046_RKF170	deg3	un	2.14882424433131		
215	RKF046_RKF210	deg3	un	3.09933205905577		
216	RKF047_RKF099	deg3	un	1.63447719304259		
217	RKF047_RKF100	deg3	un	4.85477557126865		
218	RKF047_RKF127	deg3	un	1.34224700794903		
219	RKF047_RKF141	deg3	sec	3.90163615541746		
220	RKF047_RKF156	deg3	un	6.06212024827551		
221	RKF047_RKF157	deg3	sec	5.36998587871585		
222	RKF047_RKF168	deg3	un	2.21920698068868		
223	RKF047_RKF184	deg3	un	1.98433413699195		
224	RKF047_RKF191	deg3	un	2.17870768779471		
225	RKF047_RKF198	deg3	un	2.65246605771813		
226	RKF047_RKF210	deg3	un	2.09404688908535		
227	RKF047_RKF213	deg3	sec	2.74221999368365		
228	RKF050_RKF052	deg3	un	2.89052550992028		
229	RKF050_RKF087	deg3	un	4.69099702702147		
230	RKF050_RKF171	deg3	un	0.025551838586011		
231	RKF050_RKF173	deg3	sec	5.04246896142854		
232	RKF052_RKF058	deg3	un	0.002651951185754		
233	RKF053_RKF113	deg3	un	4.34183506691443		
234	RKF053_RKF225	deg3	sec	1.18642784478106		
235	RKF056_RKF068	deg3	un	1.55510659436607		
236	RKF056_RKF075	deg3	un	0.008330383155439		
237	RKF056_RKF086	deg3	un	0.291592872961587		
238	RKF056_RKF088	deg3	un	3.299374811186		
239	RKF056_RKF098	deg3	un	4.87607989386208		
240	RKF056_RKF131	deg3	un	1.68962260226749		
241	RKF056_RKF163	deg3	un	2.92310627145594		
242	RKF056_RKF181	deg3	un	1.10573964484513		
243	RKF058_RKF163	deg3	un	0.120226524928029		
244	RKF058_RKF166	deg3	un	0.008294912178847		
245	RKF058_RKF190	deg3	un	0.014568328732025		
246	RKF058_RKF197	deg3	sec	0.018628381316432		
247	RKF058_RKF219	deg3	un	0.039957979780297		
248	RKF059_RKF214	deg3	un	0.240638691068511		
249	RKF059_RKF225	deg3	un	0.224362611818435		
250	RKF060_RKF220	deg3	un	1.60021765559441		
251	RKF061_RKF104	deg3	sec	3.63957242435413		
252	RKF062_RKF201	deg3	un	2.47264269178868		
253	RKF064_RKF167	deg3	un	0.427514569294431		
254	RKF064_RKF182	deg3	un	4.27611533939739		
255	RKF064_RKF185	deg3	un	3.53340177942346		
256	RKF068_RKF081	deg3	un	2.08751378307261		
257	RKF068_RKF082	deg3	un	0.108694603949033		
258	RKF068_RKF085	deg3	un	0.206924838004738		
259	RKF068_RKF119	deg3	un	0.117689803397809		
260	RKF068_RKF145	deg3	un	3.90148265237417		
261	RKF068_RKF148	deg3	un	5.4338798273634		
262	RKF068_RKF163	deg3	sec	2.89955883868311		
263	RKF068_RKF181	deg3	sec	2.1739754889677		
264	RKF071_RKF087	deg3	un	0.407390805764635		
265	RKF071_RKF119	deg3	un	0.131889368329269		
266	RKF071_RKF123	deg3	un	0.037011813285176		
267	RKF071_RKF171	deg3	un	0.100569365727708		
268	RKF071_RKF175	deg3	un	0.016994693822881		
269	RKF073_RKF075	deg3	un	0.004784016911394		
270	RKF073_RKF079	deg3	un	0.784033194525023		
271	RKF073_RKF082	deg3	un	0.227928028328023		
272	RKF073_RKF119	deg3	un	0.178103485428323		
273	RKF073_RKF123	deg3	un	0.147212011358107		
274	RKF073_RKF128	deg3	un	0.207210054402083		
275	RKF073_RKF164	deg3	sec	2.43942632737003		
276	RKF074_RKF171	deg3	sec	0.168073443893263		
277	RKF075_RKF107	deg3	sec	0.130052212967996		
278	RKF075_RKF113	deg3	un	0.076882927614975		
279	RKF075_RKF161	deg3	un	0.007791522510161		
280	RKF075_RKF162	deg3	sec	0.058667871557077		
281	RKF075_RKF174	deg3	un	0.0216874882003		
282	RKF075_RKF203	deg3	un	0.020035223435912		
283	RKF075_RKF224	deg3	sec	0.055877608387561		
284	RKF075_RKF227	deg3	sec	0.002193036558346		
285	RKF076_RKF114	deg3	un	5.45058739818728		
286	RKF076_RKF220	deg3	un	4.92869719946793		
287	RKF077_RKF109	deg3	un	0.977032599379982		
288	RKF077_RKF113	deg3	un	0.627675694111986		
289	RKF077_RKF117	deg3	un	0.245001021377448		
290	RKF077_RKF129	deg3	un	1.06975431116643		
291	RKF077_RKF182	deg3	un	4.21184716270409		
292	RKF077_RKF195	deg3	sec	0.879576876857754		
293	RKF077_RKF225	deg3	un	0.905610132086508		
294	RKF079_RKF123	deg3	un	0.01809613500825		
295	RKF079_RKF148	deg3	un	0.076290980344993		
296	RKF079_RKF226	deg3	un	4.18468261011594		
297	RKF080_RKF193	deg3	un	1.87142140746209		
298	RKF081_RKF104	deg3	un	5.63693208646237		
299	RKF081_RKF163	deg3	un	1.2492021376263		
300	RKF081_RKF164	deg3	sec	0.155331674254967		
301	RKF081_RKF181	deg3	un	2.85320623586335		
302	RKF081_RKF192	deg3	un	1.57684426220999		
303	RKF082_RKF146	deg3	un	0.255291077284795		
304	RKF082_RKF149	deg3	un	0.124410388806496		
305	RKF083_RKF221	deg3	un	3.73789442829616		
306	RKF085_RKF086	deg3	un	0.006495844717165		
307	RKF085_RKF094	deg3	un	0.156017282413416		
308	RKF085_RKF096	deg3	sec	0.593156684575206		
309	RKF085_RKF119	deg3	un	0.03766743275348		
310	RKF085_RKF126	deg3	un	0.250850346183142		
311	RKF085_RKF130	deg3	un	0.314729001781984		
312	RKF085_RKF146	deg3	sec	0.608745988505575		
313	RKF085_RKF149	deg3	un	0.157468088807377		
314	RKF085_RKF166	deg3	un	0.140489059217714		
315	RKF085_RKF227	deg3	un	0.489059110240078		
316	RKF086_RKF097	deg3	un	0.433437355907529		
317	RKF086_RKF119	deg3	sec	0.085666641682977		
318	RKF088_RKF098	deg3	un	5.44771605880419		
319	RKF088_RKF121	deg3	un	1.38308827308765		
320	RKF088_RKF131	deg3	un	4.01873573535886		
321	RKF088_RKF164	deg3	un	2.93360901630399		
322	RKF088_RKF194	deg3	un	2.89761043248336		
323	RKF088_RKF195	deg3	un	1.59222087903345		
324	RKF093_RKF111	deg3	un	0.236565932983467		
325	RKF096_RKF111	deg3	un	0.193861907776608		
326	RKF096_RKF171	deg3	un	0.046910439420103		
327	RKF096_RKF225	deg3	sec	0.091851964095156		
328	RKF097_RKF123	deg3	un	0.050829751640464		
329	RKF097_RKF128	deg3	un	0.269284404266614		
330	RKF098_RKF164	deg3	un	2.9666406318122		
331	RKF098_RKF189	deg3	un	3.1639064166734		
332	RKF099_RKF162	deg3	sec	5.21323596314596		
333	RKF100_RKF152	deg3	un	3.29913187163322		
334	RKF100_RKF168	deg3	un	3.86934581535081		
335	RKF100_RKF171	deg3	un	0.127970256954541		
336	RKF100_RKF199	deg3	sec	0.042973977140491		
337	RKF100_RKF218	deg3	un	0.768289266990678		
338	RKF104_RKF145	deg3	un	3.43076096939421		
339	RKF110_RKF121	deg3	un	0.196286650683305		
340	RKF110_RKF225	deg3	un	0.354005184424068		
341	RKF111_RKF131	deg3	un	0.197188698939783		
342	RKF111_RKF149	deg3	sec	0.156041299705549		
343	RKF111_RKF152	deg3	un	0.004807136725617		
344	RKF111_RKF174	deg3	sec	0.269784598958154		
345	RKF111_RKF225	deg3	sec	0.009773976593518		
346	RKF113_RKF126	deg3	un	1.23581805332651		
347	RKF113_RKF128	deg3	un	1.64316584621054		
348	RKF114_RKF178	deg3	un	2.62502406120575		
349	RKF114_RKF186	deg3	un	4.76191306213718		
350	RKF114_RKF221	deg3	un	0.709180267614556		
351	RKF119_RKF126	deg3	un	0.288079949244661		
352	RKF119_RKF146	deg3	un	0.021866627479028		
353	RKF119_RKF167	deg3	un	0.013959244013094		
354	RKF119_RKF168	deg3	sec	0.113948989488335		
355	RKF119_RKF174	deg3	un	0.557584497321727		
356	RKF119_RKF184	deg3	un	0.423152260343784		
357	RKF119_RKF197	deg3	un	0.191594506701506		
358	RKF123_RKF126	deg3	sec	0.174994185084699		
359	RKF123_RKF205	deg3	sec	0.550355949859977		
360	RKF123_RKF211	deg3	un	0.609941870814453		
361	RKF123_RKF225	deg3	un	0.015805593157392		
362	RKF123_RKO001	deg3	un	0.284560317997887		
363	RKF124_RKF225	deg3	sec	0.829083318721473		
364	RKF126_RKF195	deg3	sec	1.24517680036229		
365	RKF127_RKF142	deg3	un	0.960679800693015		
366	RKF127_RKF209	deg3	un	0.671589078662464		
367	RKF128_RKF130	deg3	un	0.161915784648215		
368	RKF128_RKF152	deg3	un	0.065517636887535		
369	RKF128_RKF168	deg3	un	0.588240581129639		
370	RKF128_RKF214	deg3	un	0.158489520234923		
371	RKF129_RKF182	deg3	sec	4.66528415568632		
372	RKF130_RKF171	deg3	un	0.022660802240694		
373	RKF131_RKF164	deg3	un	5.09194613876025		
374	RKF133_RKF203	deg3	un	3.10492976846876		
375	RKF139_RKF158	deg3	un	0.45814606046838		
376	RKF139_RKF170	deg3	sec	5.05681707772646		
377	RKF139_RKF210	deg3	un	0.615062616710247		
378	RKF139_RKF219	deg3	un	5.34111266700711		
379	RKF141_RKF158	deg3	sec	3.97758223699248		
380	RKF142_RKF156	deg3	un	3.73813239380183		
381	RKF142_RKF160	deg3	sec	5.13873655573707		
382	RKF142_RKF184	deg3	un	0.05178702037756		
383	RKF142_RKF191	deg3	un	1.01460602784118		
384	RKF142_RKF198	deg3	un	2.81398078211828		
385	RKF145_RKF163	deg3	un	4.14144515849876		
386	RKF145_RKF181	deg3	sec	5.14632588556219		
387	RKF145_RKF182	deg3	un	2.00270102027685		
388	RKF146_RKF166	deg3	un	0.212307080149799		
389	RKF147_RKF164	deg3	sec	5.39807618949158		
390	RKF148_RKF163	deg3	sec	6.22419497279884		
391	RKF148_RKF181	deg3	un	4.75646250806199		
392	RKF152_RKF160	deg3	un	2.38794707275929		
393	RKF152_RKF198	deg3	un	1.02191254600598		
394	RKF152_RKF199	deg3	un	0.683427701740357		
395	RKF152_RKF218	deg3	sec	0.583037118720995		
396	RKF155_RKF170	deg3	un	3.15331346239805		
397	RKF155_RKF210	deg3	sec	3.33902622600999		
398	RKF156_RKF209	deg3	un	5.43057124650636		
399	RKF156_RKF218	deg3	un	3.07769490125042		
400	RKF157_RKF158	deg3	sec	2.61162761674905		
401	RKF157_RKF160	deg3	un	0.80747498134042		
402	RKF158_RKF210	deg3	un	2.00801276787047		
403	RKF158_RKF213	deg3	sec	1.29946624659897		
404	RKF160_RKF209	deg3	un	5.12618288378508		
405	RKF160_RKF218	deg3	sec	3.65999534696789		
406	RKF162_RKF191	deg3	sec	2.63533541863399		
407	RKF164_RKF182	deg3	un	6.1189603064272		
408	RKF164_RKF226	deg3	un	6.51193316987087		
409	RKF166_RKF171	deg3	sec	0.01822284362936		
410	RKF167_RKF168	deg3	un	0.368692107856248		
411	RKF167_RKF204	deg3	sec	0.739126874668841		
412	RKF167_RKF205	deg3	un	0.767078897587566		
413	RKF167_RKO001	deg3	un	0.578559773999245		
414	RKF168_RKF171	deg3	un	0.019635954403114		
415	RKF168_RKF218	deg3	un	0.137537736013201		
416	RKF168_RKF225	deg3	sec	0.152185998235581		
