id	relatedness	relatedindividualID
RKC033	deg3	RKC011;RKC012;RKC025;RKC043(2.83);RKC045(4.93);RKC046(4.66);RKF135(2.80)
RKC033	id	
RKC033	pc	RKC002;RKC030;RKC031;RKC036(32.59);RKC038(36.26);RKC042(35.33)
RKC033	sec	RKC028;RKC035(11.57);RKC039(7.40)
RKC033	sib	RKC047(42.71)
RKC034	deg3	RKF058(0.02)
RKC034	id	
RKC034	pc	RKC045(41.46)
RKC034	sec	RKF171(0.10)
RKC034	sib	
RKC035	deg3	RKC036(4.53);RKC038(2.18);RKC042(5.62);RKC047(0.87)
RKC035	id	
RKC035	pc	RKC031;RKC032
RKC035	sec	RKC002;RKC030;RKC033;RKC046(11.19);RKC050(12.03)
RKC035	sib	
RKC036	deg3	RKC035;RKC039(3.55);RKC043(4.14);RKC045(0.68);RKC046(0.16);RKF014(1.91)
RKC036	id	
RKC036	pc	RKC033
RKC036	sec	RKC002;RKC028;RKC030;RKC031;RKC042(6.51);RKC047(6.43)
RKC036	sib	RKC038(51.24)
RKC038	deg3	RKC029;RKC035;RKC039(5.09);RKC046(0.26)
RKC038	id	
RKC038	pc	RKC028;RKC033
RKC038	sec	RKC002;RKC011;RKC025;RKC030;RKC031;RKC042(6.34);RKC043(20.85);RKC045(6.45);RKC047(7.71);RKF014(9.10)
RKC038	sib	RKC036
RKC039	deg3	RKC002;RKC005;RKC008;RKC018;RKC030;RKC031;RKC036;RKC038;RKC042(1.78)
RKC039	id	
RKC039	pc	RKC047(39.81)
RKC039	sec	RKC012;RKC021;RKC033
RKC039	sib	
RKC040	deg3	RKC043(0.77)
RKC040	id	
RKC040	pc	
RKC040	sec	RKC025;RKC045(12.13)
RKC040	sib	
RKC042	deg3	RKC028;RKC035;RKC039;RKC046(1.01)
RKC042	id	
RKC042	pc	RKC033
RKC042	sec	RKC002;RKC030;RKC031;RKC036;RKC038;RKC047(2.43)
RKC042	sib	
RKC043	deg3	RKC028;RKC029;RKC033;RKC036;RKC040;RKF150(5.34)
RKC043	id	
RKC043	pc	RKC044(40.78)
RKC043	sec	RKC011;RKC025;RKC027;RKC038;RKC045(3.60)
RKC043	sib	
RKC044	deg3	RKF119(0.21)
RKC044	id	
RKC044	pc	RKC011;RKC043
RKC044	sec	RKC027;RKC029;RKF150(5.60)
RKC044	sib	
RKC045	deg3	RKC028;RKC033;RKC036;RKC047(0.92)
RKC045	id	
RKC045	pc	RKC034
RKC045	sec	RKC025;RKC038;RKC040;RKC043
RKC045	sib	
RKC046	deg3	RKC002;RKC030;RKC033;RKC036;RKC038;RKC042
RKC046	id	
RKC046	pc	
RKC046	sec	RKC031;RKC032;RKC035
RKC046	sib	RKC050(66.87)
RKC047	deg3	RKC005;RKC028;RKC035;RKC045;RKF135(0.42)
RKC047	id	
RKC047	pc	RKC039
RKC047	sec	RKC002;RKC012;RKC030;RKC031;RKC036;RKC038;RKC042
RKC047	sib	RKC033
RKC050	deg3	RKC002
RKC050	id	
RKC050	pc	
RKC050	sec	RKC031;RKC032;RKC035
RKC050	sib	RKC046
RKC051	deg3	
RKC051	id	
RKC051	pc	
RKC051	sec	
RKC051	sib	RKC052(36.25)
RKC052	deg3	
RKC052	id	
RKC052	pc	
RKC052	sec	
RKC052	sib	RKC051
RKF001	deg3	RKF073(0.25);RKF168(0.56);RKF216(0.21)
RKF001	id	RKF171(0.09)
RKF001	pc	
RKF001	sec	RKF022(0.33);RKF085(0.55);RKF111(0.19);RKF125(1.08)
RKF001	sib	
RKF002	deg3	RKC023;RKF010(2.39);RKF012(2.54);RKF014(3.94);RKF047(5.49);RKF100(0.73);RKF152(1.13);RKF160(0.05);RKF218(4.83)
RKF002	id	
RKF002	pc	RKF142(38.73)
RKF002	sec	RKC020;RKF016(18.37);RKF042(17.17);RKF140(1.92);RKF167(4.99);RKF209(4.66)
RKF002	sib	RKF168(28.15);RKF199(76.00)
RKF004	deg3	
RKF004	id	
RKF004	pc	RKF139(43.06)
RKF004	sec	
RKF004	sib	
RKF005	deg3	RKF075(0.02)
RKF005	id	
RKF005	pc	RKF162(38.63)
RKF005	sec	
RKF005	sib	
RKF007	deg3	RKF047(0.20)
RKF007	id	
RKF007	pc	
RKF007	sec	
RKF007	sib	
RKF009	deg3	RKF167(0.10)
RKF009	id	
RKF009	pc	
RKF009	sec	RKF058(0.17);RKF075(0.03)
RKF009	sib	
RKF010	deg3	RKC020;RKC023;RKF002;RKF013(6.07);RKF019(0.43);RKF037(2.23);RKF038(2.03);RKF099(0.81);RKF100(1.69);RKF156(3.44);RKF160(2.88);RKF168(2.33);RKF191(2.35);RKF199(4.40)
RKF010	id	
RKF010	pc	RKF028(40.97);RKF042(40.97)
RKF010	sec	RKF012(4.70);RKF016(12.97);RKF020(9.76);RKF023(5.04);RKF047(5.62);RKF127(2.30);RKF142(17.96);RKF152(4.85);RKF184(2.93);RKF198(7.86);RKF209(2.21)
RKF010	sib	RKF218(40.59)
RKF011	deg3	RKF171(0.13)
RKF011	id	
RKF011	pc	RKF099(39.92);RKF191(42.30)
RKF011	sec	
RKF011	sib	
RKF012	deg3	RKF002;RKF020(1.51);RKF037(4.14);RKF038(1.25);RKF082(0.04);RKF099(1.81);RKF119(0.10);RKF156(3.93);RKF160(4.91);RKF168(0.68);RKF171(0.02);RKF184(2.41);RKF191(3.28);RKF198(4.41);RKF199(3.12);RKF209(1.33);RKF225(0.12)
RKF012	id	
RKF012	pc	RKF013(29.28);RKF019(23.14);RKF042(28.03);RKF100(23.35);RKF144(28.65)
RKF012	sec	RKF010;RKF015(7.09);RKF016(2.06);RKF047(5.29);RKF075(0.06);RKF142(7.59);RKF152(3.69);RKF218(6.68)
RKF012	sib	
RKF013	deg3	RKF010;RKF016(2.88);RKF047(3.54);RKF142(5.94);RKF152(3.05);RKF209(1.71);RKF218(4.40)
RKF013	id	
RKF013	pc	RKF012
RKF013	sec	RKF015(9.54);RKF042(14.01);RKF100(5.10);RKF127(12.88);RKF144(5.15)
RKF013	sib	RKF019(55.02)
RKF014	deg3	RKC012;RKC020;RKC023;RKC036;RKF002;RKF168(3.53);RKF199(3.85)
RKF014	id	
RKF014	pc	RKC028;RKF140(40.67)
RKF014	sec	RKC011;RKC024;RKC038;RKF016(10.86);RKF100(10.04);RKF142(9.72);RKF209(10.11)
RKF014	sib	
RKF015	deg3	RKF100(2.61);RKF127(5.99);RKF144(2.86)
RKF015	id	
RKF015	pc	RKF019(39.36);RKF120(39.57)
RKF015	sec	RKF012;RKF013;RKF023(12.51)
RKF015	sib	
RKF016	deg3	RKF013;RKF019(0.61);RKF020(0.17);RKF037(2.66);RKF127(0.97);RKF152(1.76);RKF156(1.80);RKF160(6.09);RKF184(3.90);RKF198(2.94)
RKF016	id	
RKF016	pc	RKF042(41.73);RKF140(42.87)
RKF016	sec	RKC020;RKC023;RKF002;RKF010;RKF012;RKF014;RKF047(14.22);RKF168(11.44);RKF199(15.03);RKF218(9.05)
RKF016	sib	RKF100(5.46);RKF142(86.56);RKF209(46.15)
RKF017	deg3	RKF225(0.02)
RKF017	id	RKF035(141.47)
RKF017	pc	
RKF017	sec	RKF058(0.03);RKF123(0.02)
RKF017	sib	
RKF018	deg3	
RKF018	id	
RKF018	pc	RKF020(40.46);RKF184(39.21)
RKF018	sec	
RKF018	sib	
RKF019	deg3	RKF010;RKF016;RKF058(0.00);RKF142(1.10);RKF152(1.10)
RKF019	id	
RKF019	pc	RKF012;RKF015
RKF019	sec	RKF042(2.76);RKF100(3.49);RKF127(11.23);RKF144(17.33)
RKF019	sib	RKF013
RKF020	deg3	RKF012;RKF016;RKF047(1.13);RKF142(2.17)
RKF020	id	
RKF020	pc	RKF018;RKF218(42.29)
RKF020	sec	RKF010;RKF028(17.62);RKF042(3.41);RKF127(3.86);RKF198(4.69)
RKF020	sib	RKF184(66.37)
RKF022	deg3	RKF108(0.03);RKF125(0.31);RKF146(0.28);RKF149(0.08);RKO004(0.03)
RKF022	id	
RKF022	pc	RKF024(0.14);RKF137(7.71)
RKF022	sec	RKC025;RKF001;RKF085(0.27)
RKF022	sib	
RKF023	deg3	RKF028(3.66);RKF218(1.87)
RKF023	id	
RKF023	pc	RKF120(41.60)
RKF023	sec	RKF010;RKF015
RKF023	sib	
RKF024	deg3	RKF103(1.87);RKF123(0.09);RKF149(0.65)
RKF024	id	
RKF024	pc	RKF022
RKF024	sec	RKF171(0.00)
RKF024	sib	
RKF025	deg3	RKF058(0.05)
RKF025	id	
RKF025	pc	
RKF025	sec	RKF171(0.26)
RKF025	sib	RKF090(27.20);RKF092(39.66);RKF095(50.84)
RKF026	deg3	
RKF026	id	
RKF026	pc	RKF027(44.42)
RKF026	sec	
RKF026	sib	
RKF027	deg3	RKF058(0.10);RKF171(0.17)
RKF027	id	
RKF027	pc	RKF026
RKF027	sec	
RKF027	sib	
RKF028	deg3	RKF023
RKF028	id	
RKF028	pc	RKF010;RKF218(40.58)
RKF028	sec	RKF020;RKF127(13.93);RKF184(12.28);RKF198(9.35)
RKF028	sib	
RKF029	deg3	RKF042(2.80);RKF158(5.93);RKF160(0.80)
RKF029	id	
RKF029	pc	
RKF029	sec	RKF032(6.90);RKF033(11.58);RKF034(7.56);RKF036(6.79);RKF041(4.44);RKF046(6.41);RKF047(3.49);RKF139(9.07);RKF155(17.49);RKF170(9.20);RKF210(10.72);RKF219(8.62)
RKF029	sib	RKF031(96.93);RKF040(55.44);RKF141(57.78);RKF157(107.52);RKF213(110.47)
RKF030	deg3	
RKF030	id	RKF215(109.74)
RKF030	pc	
RKF030	sec	
RKF030	sib	
RKF031	deg3	RKF042(5.36);RKF047(2.74)
RKF031	id	
RKF031	pc	RKF036(43.72);RKF155(42.09);RKF219(40.50)
RKF031	sec	RKF032(10.23);RKF033(12.13);RKF034(10.94);RKF041(6.62);RKF046(7.42);RKF139(9.72);RKF158(15.53);RKF170(8.48);RKF210(6.98)
RKF031	sib	RKF029;RKF040(29.15);RKF141(82.39);RKF157(99.28);RKF213(75.82)
RKF032	deg3	RKF033(3.72);RKF034(1.04);RKF036(0.81);RKF155(2.62);RKF170(1.98);RKF210(3.74);RKF219(1.62)
RKF032	id	
RKF032	pc	RKF040(38.99);RKF212(37.44)
RKF032	sec	RKF029;RKF031;RKF046(8.65);RKF141(11.60);RKF157(2.52);RKF213(3.72)
RKF032	sib	RKF041(39.67)
RKF033	deg3	RKF032;RKF036(2.75);RKF040(0.32);RKF058(0.08);RKF139(5.86);RKF155(5.82);RKF158(1.97);RKF219(2.72)
RKF033	id	
RKF033	pc	RKF143(37.42);RKF213(40.96)
RKF033	sec	RKF029;RKF031;RKF141(6.91);RKF157(8.74);RKF210(7.34)
RKF033	sib	RKF034(54.45);RKF170(29.28)
RKF034	deg3	RKF032;RKF036(3.65);RKF041(0.06);RKF046(1.00);RKF139(1.51);RKF155(2.33);RKF219(4.05)
RKF034	id	
RKF034	pc	RKF143(42.00);RKF213(40.81)
RKF034	sec	RKF029;RKF031;RKF040(5.70);RKF141(9.42);RKF157(11.54);RKF210(6.85)
RKF034	sib	RKF033;RKF170(59.92)
RKF035	deg3	RKF225(0.02)
RKF035	id	RKF017
RKF035	pc	
RKF035	sec	RKF058(0.03);RKF123(0.02)
RKF035	sib	
RKF036	deg3	RKF032;RKF033;RKF034;RKF041(1.41);RKF042(0.13);RKF047(0.69);RKF139(1.42);RKF170(5.68)
RKF036	id	
RKF036	pc	RKF031;RKF153(38.57)
RKF036	sec	RKF029;RKF040(4.52);RKF141(10.79);RKF157(8.30);RKF158(5.91);RKF210(0.34);RKF213(9.68)
RKF036	sib	RKF155(97.96);RKF219(61.51)
RKF037	deg3	RKF010;RKF012;RKF016;RKF142(4.68);RKF152(2.33);RKF209(6.28);RKF218(4.14)
RKF037	id	
RKF037	pc	RKF047(41.96);RKF211(41.79)
RKF037	sec	RKF042(11.99)
RKF037	sib	RKF160(38.06)
RKF038	deg3	RKF010;RKF012;RKF047(5.77);RKF075(0.05);RKF142(0.24);RKF209(4.16);RKF218(0.24)
RKF038	id	
RKF038	pc	RKF152(25.82)
RKF038	sec	RKF042(13.85);RKF099(0.19);RKF162(5.68);RKF191(2.12)
RKF038	sib	RKF118(49.51);RKF156(47.23)
RKF040	deg3	RKF033;RKF042(3.90);RKF047(0.14);RKF158(1.73)
RKF040	id	
RKF040	pc	RKF032;RKF041(39.31);RKF046(41.64)
RKF040	sec	RKF034;RKF036;RKF139(3.12);RKF155(5.97);RKF170(3.40);RKF210(9.03);RKF219(2.97)
RKF040	sib	RKF029;RKF031;RKF141(56.07);RKF157(35.49);RKF213(54.16)
RKF041	deg3	RKF034;RKF036;RKF047(0.95);RKF155(3.84);RKF170(1.43);RKF210(1.65)
RKF041	id	
RKF041	pc	RKF040;RKF212(35.33)
RKF041	sec	RKF029;RKF031;RKF046(0.31);RKF141(7.35);RKF157(3.81);RKF213(3.81)
RKF041	sib	RKF032
RKF042	deg3	RKF029;RKF031;RKF036;RKF040;RKF141(3.72);RKF157(4.46);RKF162(4.52);RKF213(2.37)
RKF042	id	
RKF042	pc	RKF010;RKF012;RKF016;RKF142(41.17);RKF152(29.03);RKF209(41.71);RKF218(42.08)
RKF042	sec	RKC020;RKC023;RKF002;RKF013;RKF019;RKF020;RKF037;RKF038;RKF099(6.06);RKF100(7.35);RKF118(0.82);RKF127(5.59);RKF156(15.12);RKF160(13.20);RKF168(7.00);RKF184(6.72);RKF191(9.66);RKF198(12.35);RKF199(1.76)
RKF042	sib	RKF047(53.02)
RKF043	deg3	
RKF043	id	
RKF043	pc	RKF046(41.86)
RKF043	sec	
RKF043	sib	
RKF045	deg3	RKF167(0.86)
RKF045	id	
RKF045	pc	
RKF045	sec	
RKF045	sib	
RKF046	deg3	RKF034;RKF139(2.71);RKF155(3.69);RKF170(2.15);RKF210(3.10)
RKF046	id	
RKF046	pc	RKF040;RKF043
RKF046	sec	RKF029;RKF031;RKF032;RKF041;RKF141(6.84);RKF157(4.28);RKF213(6.66)
RKF046	sib	
RKF047	deg3	RKC023;RKF002;RKF007;RKF013;RKF020;RKF031;RKF036;RKF038;RKF040;RKF041;RKF099(1.63);RKF100(4.85);RKF127(1.34);RKF141(3.90);RKF156(6.06);RKF157(5.37);RKF168(2.22);RKF184(1.98);RKF191(2.18);RKF198(2.65);RKF210(2.09);RKF213(2.74)
RKF047	id	
RKF047	pc	RKF037;RKF160(41.57)
RKF047	sec	RKF010;RKF012;RKF016;RKF029;RKF142(8.24);RKF152(8.10);RKF209(7.57);RKF218(8.17)
RKF047	sib	RKF042
RKF048	deg3	
RKF048	id	
RKF048	pc	
RKF048	sec	RKF058(0.08);RKF075(0.02);RKF171(0.09)
RKF048	sib	
RKF049	deg3	
RKF049	id	
RKF049	pc	
RKF049	sec	RKF171(0.06)
RKF049	sib	
RKF050	deg3	RKF052(2.89);RKF087(4.69);RKF171(0.03);RKF173(5.04)
RKF050	id	
RKF050	pc	RKF175(41.51)
RKF050	sec	RKF059(5.67);RKF172(12.39)
RKF050	sib	
RKF052	deg3	RKF050;RKF058(0.00)
RKF052	id	
RKF052	pc	RKF172(36.49)
RKF052	sec	RKF087(5.49);RKF175(9.72)
RKF052	sib	RKF173(29.71)
RKF053	deg3	RKF113(4.34);RKF225(1.19)
RKF053	id	
RKF053	pc	RKF077(36.32)
RKF053	sec	RKF110(10.19);RKF121(8.37);RKF194(5.20);RKF195(14.12)
RKF053	sib	RKF124(74.13);RKF126(42.19);RKF196(80.22)
RKF055	deg3	
RKF055	id	
RKF055	pc	RKF122(35.37)
RKF055	sec	
RKF055	sib	
RKF056	deg3	RKF068(1.56);RKF075(0.01);RKF086(0.29);RKF088(3.30);RKF098(4.88);RKF131(1.69);RKF163(2.92);RKF181(1.11)
RKF056	id	
RKF056	pc	RKF058(0.24);RKF180(10.57)
RKF056	sec	RKF081(17.08);RKF111(0.33);RKF145(5.75);RKF164(1.96);RKF171(0.01)
RKF056	sib	
RKF058	deg3	RKC034;RKF019;RKF025;RKF027;RKF033;RKF052;RKF163(0.12);RKF166(0.01);RKF190(0.01);RKF197(0.02);RKF219(0.04)
RKF058	id	RKF085(0.13)
RKF058	pc	RKF056
RKF058	sec	RKF009;RKF017;RKF035;RKF048;RKF079(0.14);RKF086(0.02);RKF103(0.30);RKF146(0.01);RKF205(0.17);RKO004(0.01)
RKF058	sib	RKF130(0.01);RKF178(0.57)
RKF059	deg3	RKF214(0.24);RKF225(0.22)
RKF059	id	
RKF059	pc	RKF175(29.86)
RKF059	sec	RKF050;RKF119(0.19);RKF123(0.53)
RKF059	sib	RKF075(0.05)
RKF060	deg3	RKF220(1.60)
RKF060	id	
RKF060	pc	RKF076(38.64);RKF193(27.33)
RKF060	sec	RKF080(3.92);RKF085(2.03);RKF114(5.32)
RKF060	sib	RKF178(20.86);RKF186(25.39)
RKF061	deg3	RKF104(3.64)
RKF061	id	
RKF061	pc	RKF081(39.99);RKF145(41.56)
RKF061	sec	RKF088(8.88);RKF098(6.95);RKF131(2.64)
RKF061	sib	
RKF062	deg3	RKF201(2.47)
RKF062	id	
RKF062	pc	RKF174(40.84)
RKF062	sec	RKF067(12.54);RKF129(12.47)
RKF062	sib	RKF176(59.75)
RKF064	deg3	RKF167(0.43);RKF182(4.28);RKF185(3.53)
RKF064	id	
RKF064	pc	RKF079(37.04);RKF147(39.11)
RKF064	sec	RKF073(7.30);RKF123(0.91);RKF148(13.98);RKF207(4.34);RKF226(10.13)
RKF064	sib	RKF136(19.71)
RKF065	deg3	
RKF065	id	
RKF065	pc	
RKF065	sec	RKF070(7.21);RKF112(9.82);RKF125(18.36)
RKF065	sib	
RKF067	deg3	
RKF067	id	
RKF067	pc	RKF129(41.64)
RKF067	sec	RKF062;RKF176(6.53);RKF201(6.80)
RKF067	sib	
RKF068	deg3	RKF056;RKF081(2.09);RKF082(0.11);RKF085(0.21);RKF119(0.12);RKF145(3.90);RKF148(5.43);RKF163(2.90);RKF181(2.17)
RKF068	id	
RKF068	pc	
RKF068	sec	RKF164(7.47);RKF180(0.76);RKF185(6.68)
RKF068	sib	RKF075(0.09)
RKF070	deg3	
RKF070	id	
RKF070	pc	
RKF070	sec	RKF065
RKF070	sib	RKF112(91.20);RKF125(53.08)
RKF071	deg3	RKF087(0.41);RKF119(0.13);RKF123(0.04);RKF171(0.10);RKF175(0.02)
RKF071	id	
RKF071	pc	
RKF071	sec	RKF075(0.05);RKF111(0.63);RKF172(0.56)
RKF071	sib	
